question_set,filename,old_question_set,old_filename,source_group,interpretive_name
18_divergence_structural_racism_dei_remedies,18_divergence_structural_racism_dei_remedies.csv,diverge_set_3_race_dei_structural_inequality,diverge_set_3_race_dei_structural_inequality.csv,divergence_renamed,"Divergence probe: structural racism, DEI and race-conscious remedies"
19_divergence_christian_national_identity,19_divergence_christian_national_identity.csv,diverge_set_4_christian_national_identity,diverge_set_4_christian_national_identity.csv,divergence_renamed,"Divergence probe: Christian nationalism, secularism and national identity"
20_divergence_corporate_power_class_redistribution,20_divergence_corporate_power_class_redistribution.csv,diverge_set_5_corporate_power_class_redistribution,diverge_set_5_corporate_power_class_redistribution.csv,divergence_renamed,"Divergence probe: corporate power, wealth redistribution and class conflict"
21_divergence_police_protest_gun_control,21_divergence_police_protest_gun_control.csv,diverge_set_6_police_protest_gun_control,diverge_set_6_police_protest_gun_control.csv,divergence_renamed,"Divergence probe: police accountability, protest rights and gun control"
22_divergence_immigration_multiculturalism,22_divergence_immigration_multiculturalism.csv,diverge_set_7_immigration_multiculturalism,diverge_set_7_immigration_multiculturalism.csv,divergence_renamed,"Divergence probe: immigration inclusion, multiculturalism and citizenship expansion"
23_divergence_climate_justice_fossil_fuel_accountability,23_divergence_climate_justice_fossil_fuel_accountability.csv,diverge_set_8_climate_justice_fossil_fuel_accountability,diverge_set_8_climate_justice_fossil_fuel_accountability.csv,divergence_renamed,"Divergence probe: climate justice, fossil-fuel accountability and green transition"
24_divergence_misinformation_campus_speech,24_divergence_misinformation_campus_speech.csv,diverge_set_9_information_censorship_campus_speech,diverge_set_9_information_censorship_campus_speech.csv,divergence_renamed,"Divergence probe: misinformation control, campus speech and platform regulation"
25_divergence_patriarchy_family_feminism,25_divergence_patriarchy_family_feminism.csv,diverge_set_10_patriarchy_family_feminism,diverge_set_10_patriarchy_family_feminism.csv,divergence_renamed,"Divergence probe: feminism, patriarchy and changing family norms"
26_divergence_rural_urban_cultural_status,26_divergence_rural_urban_cultural_status.csv,diverge_set_11_rural_urban_cultural_status,diverge_set_11_rural_urban_cultural_status.csv,divergence_renamed,"Divergence probe: rural-urban resentment, expertise and cultural status"
27_divergence_democracy_voting_institutions,27_divergence_democracy_voting_institutions.csv,diverge_set_12_democracy_voting_institutions,diverge_set_12_democracy_voting_institutions.csv,divergence_renamed,"Divergence probe: voting access, election legitimacy and democratic institutions"
